r_km,obs,theo,lo,hi,Statut
380.5111003533959,579239.0747653199,380511.10035339586,350624.94793740596,401933.81654934323,Regroupement significatif
384.35464682161205,586811.1487582331,384354.646821612,354424.46168106725,406151.15755005146,Regroupement significatif
388.1981932898281,590433.4574216731,388198.19328982814,358140.65142611647,410753.4929944159,Regroupement significatif
392.04173975804423,595100.637593257,392041.73975804425,361796.1973864033,415102.8293010759,Regroupement significatif
395.88528622626035,595743.8388843383,395885.28622626036,365448.97252931196,418802.1705659263,Regroupement significatif
399.72883269447647,600498.199360631,399728.83269447647,369008.69804714475,423971.0828924898,Regroupement significatif
403.5723791626926,602795.785842218,403572.3791626926,372904.42499431554,428233.28701295,Regroupement significatif
407.41592563090876,601408.1563917736,407415.92563090875,376379.61925084656,432004.1577656043,Regroupement significatif
411.2594720991249,604267.9504804953,411259.47209912486,378888.8910690102,436415.4147663645,Regroupement significatif
415.103018567341,606530.5783775183,415103.018567341,382889.0262177215,440924.2241791246,Regroupement significatif
418.94656503555706,605780.3518131797,418946.5650355571,386253.65331838623,444871.2763153656,Regroupement significatif
422.7901115037732,608638.2657523827,422790.1115037732,389552.54229973606,448644.7507961764,Regroupement significatif
426.6336579719893,615059.7586792625,426633.6579719893,393823.77141891164,453252.8173428018,Regroupement significatif
430.47720444020547,622161.7948000036,430477.2044402055,397481.20370073733,457551.0002805993,Regroupement significatif
434.3207509084216,620294.5375315873,434320.7509084216,401875.848566561,462354.9368437201,Regroupement significatif
438.1642973766377,621833.3405072986,438164.2973766377,405455.15831493714,466612.43929681584,Regroupement significatif
442.0078438448538,624786.0751922783,442007.8438448538,409175.84774143185,470903.6251145843,Regroupement significatif
445.85139031306994,624295.5489112644,445851.3903130699,412488.8917058425,475598.9236433018,Regroupement significatif
449.694936781286,627103.6497079766,449694.93678128603,414770.71618531825,480305.3774179222,Regroupement significatif
453.5384832495021,626351.9012131089,453538.48324950214,418322.10135739413,484379.1808686187,Regroupement significatif
457.3820297177183,629737.7219826167,457382.02971771837,422324.5552749524,488833.3360286817,Regroupement significatif
461.2255761859344,633260.5566767874,461225.5761859344,426226.0828113855,492457.6144579521,Regroupement significatif
465.06912265415053,634349.5793200874,465069.12265415053,428960.449476836,496236.1607639029,Regroupement significatif
468.91266912236665,638989.4012908619,468912.6691223667,432180.8846362333,500486.33376909135,Regroupement significatif
472.75621559058277,643440.1663797165,472756.21559058275,435827.02100432327,505037.8543324858,Regroupement significatif
476.5997620587989,647860.355678182,476599.76205879886,439306.6837064942,509022.995288198,Regroupement significatif
480.443308527015,644611.6900707744,480443.30852701503,442600.7582654442,514216.3620602479,Regroupement significatif
484.2868549952311,648823.295101132,484286.8549952311,446267.5996899133,519188.3618914344,Regroupement significatif
488.13040146344724,652324.9501979153,488130.40146344726,449429.76124077896,523140.0861684631,Regroupement significatif
491.97394793166336,651691.9666243842,491973.94793166337,452315.93402238155,528428.9980599318,Regroupement significatif
495.8174943998795,649118.3084108211,495817.4943998795,455770.00842077966,532751.9725439309,Regroupement significatif
499.6610408680956,652950.3419922218,499661.0408680956,459463.8423349151,537005.842241411,Regroupement significatif
503.5045873363117,650750.6024586334,503504.5873363117,462224.01438323566,541888.2554133076,Regroupement significatif
507.3481338045279,654639.1125737918,507348.13380452787,465961.7846405447,546167.7932732203,Regroupement significatif
511.19168027274395,656556.3989453709,511191.680272744,469223.3233667899,549988.7620110764,Regroupement significatif
515.0352267409601,657065.8983953532,515035.2267409601,473046.9783837051,553904.6042899793,Regroupement significatif
518.8787732091762,656559.3386294837,518878.77320917626,476869.9155569503,557374.3423588598,Regroupement significatif
522.7223196773923,648260.6965637685,522722.3196773923,479577.43959709216,561489.098809759,Regroupement significatif
526.5658661456084,649141.4416738336,526565.8661456085,483162.88232686627,565480.3580573191,Regroupement significatif
530.4094126138245,646548.0491384132,530409.4126138246,487135.1384707983,569749.8442156584,Regroupement significatif
534.2529590820407,649957.8278614936,534252.9590820407,491558.97773716477,573371.7786939794,Regroupement significatif
538.0965055502568,651165.6781573038,538096.5055502568,495149.0853253148,577316.0028956058,Regroupement significatif
541.9400520184729,654829.4827992712,541940.0520184729,498059.5131301282,581930.660246158,Regroupement significatif
545.783598486689,657563.9397754304,545783.598486689,502047.03183191374,586607.1445660563,Regroupement significatif
549.6271449549051,658477.0121057075,549627.1449549051,506306.8259789271,590654.6795090542,Regroupement significatif
553.4706914231213,651468.1039200817,553470.6914231213,510531.07828463934,594782.0239568383,Regroupement significatif
557.3142378913374,649920.0294680023,557314.2378913374,513843.8261704093,599439.500859354,Regroupement significatif
561.1577843595535,653495.5132821266,561157.7843595535,517063.4146823776,603446.9868308603,Regroupement significatif
565.0013308277696,638099.3009004922,565001.3308277696,520938.1634952792,608103.6934352802,Regroupement significatif
568.8448772959858,642824.5685330379,568844.8772959858,524454.5618747348,611423.4237084732,Regroupement significatif
572.688423764202,647417.9762134035,572688.4237642019,527348.7026038709,615909.5150233443,Regroupement significatif
576.5319702324181,635066.1099002358,576531.970232418,531622.5368709781,619494.6750980769,Regroupement significatif
580.3755167006342,650374.5232735978,580375.5167006342,534949.0261363366,623616.8506016751,Regroupement significatif
584.2190631688503,647257.2703981949,584219.0631688503,537988.867282612,627841.2491440991,Regroupement significatif
588.0626096370663,668777.4459644916,588062.6096370664,542200.5243822325,632336.7817597401,Regroupement significatif
591.9061561052824,672518.1400394307,591906.1561052825,544986.3185675051,636007.4190404344,Regroupement significatif
595.7497025734986,666137.495251893,595749.7025734986,548233.3651882011,640001.7190972691,Regroupement significatif
599.5932490417147,669959.8010625949,599593.2490417147,552349.8944434243,644381.1820470701,Regroupement significatif
603.4367955099308,664532.1005510738,603436.7955099308,556835.1076970458,649128.8477493187,Regroupement significatif
607.2803419781469,657402.1177132346,607280.3419781469,560978.3427561865,653804.1016775506,Regroupement significatif
611.123888446363,669536.1780034427,611123.888446363,564517.1353996915,657450.2843621428,Regroupement significatif
614.9674349145791,657194.0022272893,614967.4349145791,568209.8519141726,661486.057592738,Compatible avec le hasard
618.8109813827954,660884.0593161228,618810.9813827954,571964.9593884628,665591.4802456924,Compatible avec le hasard
622.6545278510115,664736.5736271193,622654.5278510115,574849.8328477561,670083.6455195096,Compatible avec le hasard
626.4980743192276,654169.7810908975,626498.0743192276,578642.1680284163,674063.5472965825,Compatible avec le hasard
630.3416207874437,658360.0223184992,630341.6207874437,581251.752892412,677743.6987831282,Compatible avec le hasard
634.1851672556598,662326.0824234232,634185.1672556598,584718.3560468991,681603.9238016674,Compatible avec le hasard
638.028713723876,651713.0320961341,638028.7137238759,588432.1942820059,686084.9637249019,Compatible avec le hasard
641.8722601920921,656268.2460243402,641872.2601920922,592661.8641804508,689741.5394502378,Compatible avec le hasard
645.7158066603082,649751.0215261333,645715.8066603082,596029.8198041322,693644.2267930602,Compatible avec le hasard
649.5593531285242,654497.2571538938,649559.3531285243,599425.2335032698,697049.5973202095,Compatible avec le hasard
