Birthplace,Country,NbJoueurs,latitude,longitude
"Hawkesbury, ON, Canada",Canada,7,45.610281,-74.6055611
"Kazan, Russia",Russia,7,55.7946485,49.1115022
"Kindersley, SK, Canada",Canada,7,51.4687094,-109.1581355
"La Salle, QC, Canada",Canada,7,45.5133304,-73.4922268
"Lahti, Finland",Finland,7,60.982628,25.6613418
"Lakeville, MN, USA",USA,7,44.650051,-93.2432791
"Listowel, ON, Canada",Canada,7,43.731593,-80.952882
"Lloydminster, AB, Canada",Canada,7,53.279995,-110.00885
"Malmo, Sweden",Sweden,7,55.6052931,13.0001566
"Meadow Lake, SK, Canada",Canada,7,54.13026,-108.435059
"Melrose, MA, USA",USA,7,42.4564323,-71.064182
"New Haven, CT, USA",USA,7,41.3082138,-72.9250518
"New Liskeard, ON, Canada",Canada,7,47.508731,-79.6789029
"Parry Sound, ON, Canada",Canada,7,45.6675279,-80.1055284
"Pointe-Claire, QC, Canada",Canada,7,45.4566767,-73.8067442
"Port Colborne, ON, Canada",Canada,7,42.8862392,-79.2513905
"Renfrew, ON, Canada",Canada,7,45.7300564,-77.2793698
"Simcoe, ON, Canada",Canada,7,44.5014007,-79.7038708
"Sodertalje, Sweden",Sweden,7,59.1964289,17.6271663
"Spokane, WA, USA",USA,7,47.6571934,-117.42351
"Sundsvall, Sweden",Sweden,7,62.3907552,17.3071024
"Trenton, ON, Canada",Canada,7,44.1019126,-77.57539
"Virginia, MN, USA",USA,7,47.52326,-92.536571
"Waterloo, ON, Canada",Canada,7,43.4652699,-80.5222961
"Weymouth, MA, USA",USA,7,42.2212188,-70.9391625
"Woodbridge, ON, Canada",Canada,7,43.7848982,-79.5923855
"Zlin, Czech Republic",Czech Republic,7,49.226766,17.6667415
"Zvolen, Slovakia",Slovakia,7,48.5782517,19.1247135
"Antigonish, NS, Canada",Canada,6,45.6213607,-61.9904928
"Banska Bystrica, Slovakia",Slovakia,6,48.735429,19.1457338
"Bowmanville, ON, Canada",Canada,6,43.9122995,-78.6891675
"Camrose, AB, Canada",Canada,6,53.013131,-112.840576
"Castlegar, BC, Canada",Canada,6,49.316171,-117.663574
"Cherepovets, Russia",Russia,6,59.1242181,37.9123351
"Cranston, RI, USA",USA,6,41.779588,-71.4366813
"Delisle, SK, Canada",Canada,6,51.9230936,-107.1354
"Fargo, ND, USA",USA,6,46.877229,-96.789821
"Fergus, ON, Canada",Canada,6,43.7059439,-80.3779366
"Fernie, BC, Canada",Canada,6,49.5041747,-115.062867
"Fort Erie, ON, Canada",Canada,6,42.91308,-78.918611
"Fort Saskatchewan, AB, Canada",Canada,6,53.7128571,-113.214894
"Georgetown, ON, Canada",Canada,6,43.6553828,-79.9190449
"Glace Bay, NS, Canada",Canada,6,46.1949393,-59.9561999
"Grand Forks, ND, USA",USA,6,47.9252104,-97.0306325
"Grande Prairie, AB, Canada",Canada,6,55.17108,-118.7949873
