Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"New York, NY, USA","New York, NY, USA",USA,12,40.7127281,-74.0060152
"Prince George, BC, Canada","Prince George, BC, Canada",Canada,12,53.9128645,-122.7453699
"Sorel, QC, Canada","Sorel, QC, Canada",Canada,12,46.044404,-73.104744
"Yaroslavl, Russia","Yaroslavl, Russia",Russia,12,57.6263877,39.8933705
"Hibbing, MN, USA","Hibbing, MN, USA",USA,11,47.427155,-92.937689
"Kenora, ON, Canada","Kenora, ON, Canada",Canada,11,54.0245941,-89.1618188
"Kiev, Ukraine","Kiev, Ukraine",Ukraine,11,50.4500336,30.5241361
"Lloydminster, SK, Canada","Lloydminster, SK, Canada",Canada,11,53.2816669,-109.986339
"Pori, Finland","Pori, Finland",Finland,11,61.4866126,21.7972071
"Selkirk, MB, Canada","Selkirk, MB, Canada",Canada,11,50.146986,-96.880188
"Summerside, PE, Canada","Summerside, PE, Canada",Canada,11,46.394259,-63.7892386
"Abbotsford, BC, Canada","Abbotsford, BC, Canada",Canada,10,49.0521162,-122.329479
"Bratislava, Slovakia","Bratislava, Slovakia",Slovakia,10,48.1516988,17.1093063
"Chicoutimi, QC, Canada","Chicoutimi, QC, Canada",Canada,10,48.4286352,-71.0637121
"Falun, Sweden","Falun, Sweden",Sweden,10,60.6070068,15.6323059
"Gatineau, QC, Canada","Gatineau, QC, Canada",Canada,10,45.4277659,-75.710976
"Grand Rapids, MN, USA","Grand Rapids, MN, USA",USA,10,47.237166,-93.530214
"Hull, QC, Canada","Hull, QC, Canada",Canada,10,45.4405842,-75.7326823
"Kosice, Slovakia","Kosice, Slovakia",Slovakia,10,48.7172272,21.2496774
"Melville, SK, Canada","Melville, SK, Canada",Canada,10,50.9307241,-102.807296
"Pardubice, Czech Republic","Pardubice, Czech Republic",Czech Republic,10,50.0385812,15.7791356
"Petrolia, ON, Canada","Petrolia, ON, Canada",Canada,10,42.882002,-82.149582
"Syracuse, NY, USA","Syracuse, NY, USA",USA,10,43.0481221,-76.1474244
"Vasteras, Sweden","Vasteras, Sweden",Sweden,10,59.6110992,16.5463679
"Voskresensk, Russia","Voskresensk, Russia",Russia,10,55.322518,38.6816824
"Cambridge, ON, Canada","Cambridge, ON, Canada",Canada,9,43.3600536,-80.3123023
"Ceske Budejovice, Czech Republic","Ceske Budejovice, Czech Republic",Czech Republic,9,48.9747357,14.474285
"Cleveland, OH, USA","Cleveland, OH, USA",USA,9,41.4996574,-81.6936772
"Galt, ON, Canada","Galt, ON, Canada",Canada,9,43.3589869,-80.3152471
"Jihlava, Czech Republic","Jihlava, Czech Republic",Czech Republic,9,49.396064,15.5903065
"Kamloops, BC, Canada","Kamloops, BC, Canada",Canada,9,50.6758269,-120.339415
"Kuopio, Finland","Kuopio, Finland",Finland,9,62.8924628,27.6783603
"Leksand, Sweden","Leksand, Sweden",Sweden,9,60.7329032,14.9968205
"Livonia, MI, USA","Livonia, MI, USA",USA,9,42.36837,-83.3527097
"Markham, ON, Canada","Markham, ON, Canada",Canada,9,43.8563707,-79.3376825
"Minsk, Belarus","Minsk, Belarus",Belarus,9,53.9024716,27.5618225
"North York, ON, Canada","North York, ON, Canada",Canada,9,43.7543217,-79.4491057
"Omsk, Russia","Omsk, Russia",Russia,9,54.991375,73.371529
"Rochester, NY, USA","Rochester, NY, USA",USA,9,43.157285,-77.615214
"Shawinigan Falls, QC, Canada","Shawinigan, QC, Canada",Canada,9,NA,NA
"Sydney, NS, Canada","Sydney, NS, Canada",Canada,9,46.1382112,-60.1941912
"Trencin, Slovakia","Trencin, Slovakia",Slovakia,9,48.8922719,18.0387465
"Ust-Kamenogorsk, Kazakhstan","Ust-Kamenogorsk, Kazakhstan",Kazakhstan,9,49.9484438,82.6274791
"Vernon, BC, Canada","Vernon, BC, Canada",Canada,9,50.2668671,-119.2718157
"Viking, AB, Canada","Viking, AB, Canada",Canada,9,53.0972884,-111.7771466
"Weyburn, SK, Canada","Weyburn, SK, Canada",Canada,9,49.6651238,-103.854034
